type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-07-21 13:29:47,0.33922266,-78.14166393,3,2236000,1140,299,21,32,,,
T,2021-07-21 13:29:50,0.33924207,-78.14169126,2,2235000,1090,291,24,31,,,
T,2021-07-21 13:29:53,0.33923067,-78.14171548,2,2236000,1250,221,20,28,,,
T,2021-07-21 13:29:56,0.33921017,-78.14173518,3,2236000,1100,230,20,29,,,
T,2021-07-21 13:29:59,0.33919735,-78.14175789,3,2235000,1020,250,21,30,,,
T,2021-07-21 13:30:02,0.33921290,-78.14178874,3,2235000,1190,316,21,32,,,
T,2021-07-21 13:30:05,0.33923892,-78.14181221,2,2235000,1150,320,22,32,,,
T,2021-07-21 13:30:08,0.33923880,-78.14183509,2,2235000,1120,234,23,31,,,
T,2021-07-21 13:30:11,0.33921797,-78.14185202,2,2235000,930,210,22,29,,,
T,2021-07-21 13:30:14,0.33919731,-78.14187189,3,2234000,1060,230,23,30,,,
T,2021-07-21 13:30:17,0.33919115,-78.14189184,2,2234000,700,269,22,30,,,
T,2021-07-21 13:30:20,0.33921407,-78.14191430,2,2233000,1140,326,23,31,,,
T,2021-07-21 13:30:23,0.33922840,-78.14193844,3,2233000,1020,290,22,30,,,
T,2021-07-21 13:30:26,0.33922907,-78.14197398,3,2233000,1220,257,21,31,,,
T,2021-07-21 13:30:29,0.33923130,-78.14199904,3,2232000,880,258,22,31,,,
T,2021-07-21 13:30:32,0.33923335,-78.14201295,3,2232000,970,265,21,31,,,
T,2021-07-21 13:30:35,0.33922601,-78.14203709,3,2232000,900,246,22,30,,,
T,2021-07-21 13:30:38,0.33920401,-78.14206794,3,2232000,1070,227,23,32,,,
T,2021-07-21 13:30:41,0.33917887,-78.14209669,3,2233000,970,229,20,33,,,
T,2021-07-21 13:30:44,0.33918235,-78.14210683,3,2233000,640,286,21,32,,,
T,2021-07-21 13:30:47,0.33919362,-78.14212913,3,2231000,700,294,22,33,,,
T,2021-07-21 13:30:50,0.33919831,-78.14216282,3,2231000,980,256,21,32,,,
T,2021-07-21 13:30:53,0.33920225,-78.14219266,3,2231000,1080,258,22,32,,,
T,2021-07-21 13:30:56,0.33919949,-78.14222233,3,2231000,950,258,23,31,,,
T,2021-07-21 13:30:59,0.33919123,-78.14224463,3,2232000,1000,248,22,31,,,
T,2021-07-21 13:31:02,0.33917099,-78.14226223,3,2232000,1160,233,23,30,,,
T,2021-07-21 13:31:05,0.33915452,-78.14228931,3,2232000,1040,261,23,30,,,
T,2021-07-21 13:31:08,0.33917212,-78.14231839,3,2232000,980,316,22,30,,,
T,2021-07-21 13:31:11,0.33918926,-78.14233742,3,2231000,680,312,23,31,,,
T,2021-07-21 13:31:14,0.33918960,-78.14236457,3,2231000,880,263,20,32,,,
T,2021-07-21 13:31:17,0.33918574,-78.14239098,3,2231000,880,251,22,32,,,
T,2021-07-21 13:31:20,0.33916797,-78.14240514,3,2232000,970,208,22,32,,,
T,2021-07-21 13:31:23,0.33916059,-78.14242551,3,2233000,970,270,21,33,,,
T,2021-07-21 13:31:26,0.33916969,-78.14244404,3,2233000,640,322,21,32,,,
T,2021-07-21 13:31:29,0.33916629,-78.14244613,3,2233000,670,242,23,33,,,
T,2021-07-21 13:31:32,0.33915636,-78.14245963,3,2233000,970,222,23,33,,,
T,2021-07-21 13:31:35,0.33914949,-78.14248444,3,2233000,1070,264,20,34,,,
