type,date time,lat,lon,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-07-04 23:45:31,0.34484386,-78.13263997,1,2233000,,6690,26,24,28,,
T,2021-07-04 23:45:34,0.34500094,-78.13256009,1,2232000,,6310,26,24,28,,
T,2021-07-04 23:45:37,0.34516966,-78.13247653,1,2232000,,6860,25,24,29,,
T,2021-07-04 23:45:40,0.34533273,-78.13240117,1,2231000,,6480,25,24,29,,
T,2021-07-04 23:45:43,0.34548264,-78.13232808,1,2231000,,5860,25,24,29,,
T,2021-07-04 23:45:46,0.34560804,-78.13227042,1,2231000,,3780,27,24,29,,
T,2021-07-04 23:45:49,0.34569575,-78.13222297,2,2231000,,3110,26,24,29,,
T,2021-07-04 23:45:52,0.34575887,-78.13219389,2,2232000,,2490,24,24,28,,
T,2021-07-04 23:45:55,0.34587068,-78.13214829,2,2232000,,6280,27,24,29,,
T,2021-07-04 23:45:58,0.34603137,-78.13206908,2,2232000,,6770,23,24,29,,
T,2021-07-04 23:46:01,0.34620651,-78.13202701,2,2232000,,6530,1,24,28,,
T,2021-07-04 23:46:04,0.34637750,-78.13204402,1,2231000,,5310,351,21,30,,
T,2021-07-04 23:46:07,0.34651182,-78.13207629,1,2231000,,5230,342,24,33,,
T,2021-07-04 23:46:10,0.34665980,-78.13212298,1,2230000,,5960,348,23,33,,
T,2021-07-04 23:46:13,0.34680028,-78.13215617,1,2230000,,4930,352,23,32,,
T,2021-07-04 23:46:16,0.34689215,-78.13216707,2,2229000,,1690,356,24,33,,
T,2021-07-04 23:46:19,0.34689927,-78.13216606,2,2229000,,130,360,24,33,,
T,2021-07-04 23:46:22,0.34689873,-78.13216598,2,2229000,,0,,24,33,,
T,2021-07-04 23:46:25,0.34695250,-78.13215969,2,2229000,,3660,358,24,33,,
T,2021-07-04 23:46:28,0.34709025,-78.13214511,2,2230000,,5860,11,23,31,,
T,2021-07-04 23:46:31,0.34723547,-78.13215709,2,2230000,,5770,336,24,33,,
T,2021-07-04 23:46:34,0.34732067,-78.13230294,2,2230000,,6070,272,24,33,,
T,2021-07-04 23:46:37,0.34727319,-78.13244526,2,2230000,,5690,236,22,31,,
T,2021-07-04 23:46:40,0.34716091,-78.13254274,2,2230000,,5050,208,24,32,,
T,2021-07-04 23:46:43,0.34701989,-78.13254576,2,2230000,,5450,157,24,33,,
T,2021-07-04 23:46:46,0.34688087,-78.13246546,1,2229000,,6100,141,24,32,,
T,2021-07-04 23:46:49,0.34674584,-78.13237293,1,2228000,,6080,150,24,32,,
T,2021-07-04 23:46:52,0.34658063,-78.13230948,1,2227000,,6150,167,24,32,,
T,2021-07-04 23:46:55,0.34641308,-78.13229556,1,2226000,,6260,173,24,32,,
T,2021-07-04 23:46:58,0.34624770,-78.13227293,1,2225000,,6400,172,24,32,,
T,2021-07-04 23:47:01,0.34609105,-78.13226287,1,2224000,,5680,182,24,32,,
T,2021-07-04 23:47:04,0.34592584,-78.13230705,1,2226000,,6950,201,24,33,,
T,2021-07-04 23:47:07,0.34577123,-78.13236916,2,2227000,,3410,206,24,32,,
T,2021-07-04 23:47:10,0.34567476,-78.13239782,2,2227000,,5300,207,23,33,,
T,2021-07-04 23:47:13,0.34550159,-78.13248608,2,2229000,,8380,206,23,32,,
T,2021-07-04 23:47:16,0.34528102,-78.13258943,1,2229000,,10050,206,24,32,,
T,2021-07-04 23:47:19,0.34503405,-78.13271457,1,2229000,,10000,206,23,32,,
T,2021-07-04 23:47:22,0.34479311,-78.13283452,1,2229000,,9390,205,24,30,,
T,2021-07-04 23:47:25,0.34458008,-78.13293829,1,2230000,,8100,205,24,29,,
T,2021-07-04 23:47:28,0.34437343,-78.13303585,1,2230000,,8540,205,24,28,,
